arr_port^pax^aeropuertos
LHR     ^88809^London Heathrow Airport
AGU     ^810^Aguascalientes, Ags.
PNR     ^810^Pointe Noire Airport
MSU     ^800^Maseru / Moshoeshoe
GRJ     ^800^George
BHO     ^800^Raja Bhoj Airport
VFA     ^790^Victoria Falls
GUW     ^790^Atyrau Airport
MKY     ^790^Mackay Mo
TSA     ^790^Sung-shan Chi-ch'ang
DAD     ^790^Đà Nẵng International Airport
APW     ^780^Faleolo International Airport
CLJ     ^780^Cluj-Napoca International Airport
TRS     ^780^Trieste – Friuli Venezia Giulia Airport
MAF     ^780^Midland International Airport
BRM     ^770^Barquisimeto
AHO     ^770^Alghero
XIY     ^770^Xi'an Xianyang International Airport
EGE     ^770^Eagle County Regional Airport
ATW     ^770^Outagamie County Airport
FAR     ^770^Hector International Airport
BSR     ^770^Basra International Airport
BJA     ^770^Bejaia
SPC     ^760^La Palma Airport
LBA     ^760^Leeds Bradford International Airport
TJM     ^760^Roshchino International Airport
AEX     ^750^Alexandria International Airport
OMS     ^750^Tsentralny Airport
AES     ^750^Alesund / Vigra
WNZ     ^750^Wenzhou Yongqiang International Airport
HAS     ^740^Ḩā’il Airport
UME     ^740^Umeå flygplats
OAX     ^730^Oaxaca - Xoxocotlán International Airport
KCH     ^730^Kuching Airport
BIS     ^720^Bismarck Municipal Airport
LGK     ^720^Langkawi
GRZ     ^720^Graz Airport
XRY     ^720^Jerez Airport
GBE     ^710^Seretse Khama International Airport
AVP     ^710^Wilkes-Barre/Scranton International Airport
NNG     ^710^Nanning
TNG     ^710^Tangier Ibn Battouta Airport
ACA     ^700^Acapulco / G. Alvarez
VLN     ^700^Zim Valencia
CRD     ^700^General Enrique Mosconi International Airport
MFR     ^700^Rogue Valley International - Medford Airport
CEI     ^700^Mae Fah Luang-Chiang Rai International Airport
TUC     ^690^Tucuman Aerodrome
GNV     ^690^Gainesville Regional Airport
BJL     ^690^Banjul International Airport
BDQ     ^690^Vadodara Airport
DRO     ^690^Durango-La Plata County Airport
PKC     ^690^Petropavlovsk-Kamchatskij
TLN     ^690^Toulon-Hyères Airport
IXZ     ^690^Veer Savarkar
TLM     ^680^Tlemcen Zenata
IAS     ^680^Iași International Airport
GYN     ^680^Goiania Aeroporto
GJT     ^680^BLM Fire Center Heliport
GOJ     ^680^Nizhny Novgorod/Strigino
NKC     ^670^Nouakchott
TRF     ^670^Sandefjord Airport, Torp
IPC     ^670^Mataveri International Airport
KGI     ^670^Kalgoorlie Boulder Amo
LAN     ^670^Lansing, Capital City Airport
SMS     ^670^Sainte-Marie Aerodrome
LLA     ^660^Luleå Airport
FNA     ^660^Freetown-Lungi International Airport
MRY     ^660^Monterey Peninsula Airport
BMI     ^660^Central Illinois Regional Airport at Bloomington-Normal
JDH     ^650^Jodhpur Airport
SXR     ^650^Sheikh ul Alam Airport
SXF     ^650^Berlin Schönefeld Airport
QRO     ^650^Queretaro, Qro.
ASP     ^650^Alice Springs Airport
MHD     ^650^Mashhad
AGS     ^650^Augusta Regional Airport
CIX     ^640^Chiclayo
DLM     ^640^Dalaman
CFE     ^640^Clermont-Ferrand - Auvergne
RMA     ^630^Roma
SKT     ^620^Sialkot Airport
CFU     ^620^Kerkyra Airport
LPQ     ^620^Luang-Prabang
BHJ     ^620^Bhuj Airport
BFN     ^620^Bloemfontein
ZWS     ^620^Stuttgart DE Hbf Railway Stati
OZZ     ^620^Ouarzazate Airport
CGQ     ^610^Changchun
RVN     ^610^Rovaniemi Airport
ARH     ^610^Arhangel'Sk
OUL     ^610^Oulu Airport
VRA     ^610^Varadero, Matanzas
SSG     ^610^Malabo/Fernando Poo
RAR     ^610^Rarotonga International Airport
TGZ     ^610^Ángel Albino Corzo International Airport
POP     ^610^Aeropuerto Internacional La Unión
PIA     ^610^General Downing - Peoria International Airport
SBZ     ^610^Sibiu International Airport
BGR     ^600^Bangor International Airport
RST     ^600^Rochester, Rochester International Airport
ADE     ^600^Aden
BQN     ^600^Rafael Hernandez Airport
EYP     ^600^El Yopal
TKU     ^600^Turku Airport
PEE     ^600^Perm'/Bolshoe Savino
TIF     ^600^Taif
MQP     ^600^Kruger Mpumalanga International Airport
LNK     ^600^Lincoln Municipal Airport
SFJ     ^600^Sdr Stroemfjord
IXR     ^590^M. O. Ranchi
DNK     ^590^Dnipropetrovsk International Airport
UUS     ^590^Yuzhno-Sakhalinsk Airport
CUL     ^590^Federal de Bachigualato International Airport
ECN     ^590^Ercan International Airport
AXM     ^590^Armenia / El Eden
SCO     ^580^Aktau Airport
MOT     ^580^Minot International Airport
QSF     ^580^Ain Arnat Airport
OAJ     ^580^Albert J. Ellis Airport
VLI     ^580^Port Vila - Bauerfield International Airport
MLH     ^580^Bâle-Mulhouse
VDE     ^580^Hierro / Aeropuerto
SKB     ^580^Golden Rock Airport
CJS     ^570^Abraham González International Airport
TER     ^570^Lajes Acores
NLA     ^570^Ndola Airport
WUH     ^570^Wuhan
AJF     ^570^Al-Jawf Domestic Airport
BME     ^570^Broome Airport
HHH     ^570^Hilton Head Airport
RTM     ^570^Rotterdam The Hague Airport
YYG     ^570^Charlottetown, P. E. I.
SBN     ^570^South Bend Regional Airport
EIS     ^560^Terrance B. Lettsome International Airport
MSO     ^560^Missoula International Airport
IKT     ^560^Irkutsk Airport
ISA     ^560^Mount Isa Airport
YQT     ^550^Thunder Bay, Ont.
EVV     ^550^Evansville Regional Airport
RNS     ^550^Rennes - Saint-Jacques
ORK     ^550^Cork Airport
HDY     ^550^Tha Akatsayan Hat Yai
DIY     ^540^Diyarbakir
ISP     ^540^Long Island Mac Arthur Airport
MOV     ^540^Moranbah Airport
QKL     ^540^Cologne BONN DE Cologne Hbf Ra
VOG     ^540^Volgograd
BON     ^540^Flamingo Airport
PMR     ^540^Palmerston North Airport
SOU     ^530^Southampton / Weather Centre
RTB     ^530^Roatan
IMF     ^530^Imphal Airport
YQM     ^530^Greater Moncton International Airport
DZA     ^530^Dzaoudzi / Pamanzi Mayotte
NTL     ^530^Newcastle Airport
ROK     ^530^Rockhampton Airport
YNB     ^520^Yenbo
LXR     ^520^Luxor
LGQ     ^520^Nueva Loja Airport
LSC     ^510^La Serena
KIM     ^510^Kimberly Airport
NVA     ^510^Benito Salas Airport
MUN     ^510^Maturin
CAY     ^510^Cayenne-Rochambeau
NIM     ^510^Niamey-Aero
FBM     ^500^Lubumbashi-Luano
PUY     ^500^Pula Airport
AAR     ^500^Tirstrup Airport
ZLO     ^500^Manzanillo International
BNS     ^500^Barinas Airport
TRC     ^500^Torreon International
BFL     ^500^Meadows Field
JNU     ^500^Juneau International Airport
LVI     ^500^Livingstone Airport
MGM     ^500^Dannelly Field
FNT     ^500^Bishop International Airport
GCI     ^500^Guernsey Airport
ASW     ^500^Aswan
KIS     ^500^Kisumu Airport
ARI     ^490^Arica
NQN     ^490^Neuquen Aerodrome
ZCO     ^490^Temuco
FMO     ^490^Münster Osnabrück International Airport
GND     ^480^Maurice Bishop International Airport
TPP     ^480^Tarapoto
MWZ     ^480^Mwanza Airport
MUB     ^480^Maun Airport
KGS     ^480^Kos Airport
KSU     ^480^Kristiansund Airport, Kvernberget
RCH     ^480^Almirante Padilla Airport
LEI     ^470^Almería Airport
INN     ^470^Innsbruck Airport
TCQ     ^470^Tacna
TRI     ^470^Tri-Cities Regional Airport
SBW     ^460^Sibu Airport
DLH     ^460^Duluth International Airport
OKA     ^460^Naha Airport
JKH     ^460^Chios Airport
CFS     ^450^Coffs Harbour Airport
YFC     ^450^Fredericton, N. B.
TET     ^450^Chingozi Airport
CSX     ^450^Changsha Huanghua International Airport
KSC     ^450^Košice International Airport
LNZ     ^450^Linz Airport
ELQ     ^450^Prince Nayef bin Abdulaziz Regional Airport
SBH     ^450^Gustaf III Airport
YXU     ^450^London, Ont.
KTW     ^440^Katowice International Airport
UKK     ^440^Ust-Kamennogorsk Airport
DVO     ^440^Davao Airport
TAM     ^430^General Francisco Javier Mina International Airport
AZO     ^430^Kalamazoo-Battle Creek International Airport
TLC     ^430^Toluca / Jose Maria
ELM     ^430^Elmira-Corning Regional Airport
JUL     ^430^Aeropuerto Internacional Inca Manco Cápac
GTF     ^430^Great Falls International Airport
TVC     ^430^Cherry Capital Airport
NJF     ^430^Al Najaf
YNT     ^430^Yantai Laishan International Airport
SLW     ^430^Saltillo, Coah.
DYU     ^430^Dushanbe International Airport
SDR     ^430^Santander Airport
AXU     ^420^Axum Airport
VXE     ^420^San Pedro
HRB     ^420^Harbin
RDM     ^420^Roberts Field-Redmond Municipal Airport
HTI     ^420^Hamilton Island Airport
LDB     ^420^Londrina Aeroporto
MEC     ^420^Eloy Alfaro International Airport
CPE     ^420^Ing. Alberto Acuña Ongay International Airport
UBP     ^420^Ubon Ratchathani Airport
BHI     ^410^Bahia Blanca Aerodrome
CME     ^410^Ciudad Del Carmen
IBE     ^410^Perales Airport
DGO     ^410^Durango Airport
LST     ^410^Launceston Airport
POL     ^410^Pemba Airport
MLN     ^410^Melilla
YUM     ^410^Yuma International Airport
EMD     ^410^Emerald Airport
BRO     ^410^Brownsville-South Padre Island International Airport
TIR     ^410^Tirupati Airport
ROB     ^400^Roberts International Airport
MLU     ^400^Monroe Regional Airport
NUX     ^400^Novy Urengoy Airport
GET     ^400^Geraldton Airport
KBR     ^400^Kota Bharu
TMP     ^400^Tampere-Pirkkala Airport
LYR     ^400^Svalbard Lufthavn
RZE     ^400^Rzeszów-Jasionka Airport
TBP     ^390^Tumbes
DHN     ^390^Dothan Regional Airport
CPR     ^390^Natrona County International Airport
CPC     ^390^Aeropuerto Chapelco
MRA     ^390^Misratah Airport
LTN     ^390^Luton Airport
BWN     ^390^Brunei
LBU     ^390^Labuan Airport
SDL     ^390^Sundsvall-Härnösand Airport
ADQ     ^390^Kodiak Airport
BJR     ^390^Bahir Dar Airport
ROT     ^390^Rotorua Airport
IXS     ^390^Silchar Airport
ETH     ^390^Eilat Airport
ITH     ^380^Ithaca Tompkins Regional Airport
OCC     ^380^Francisco De Orellana Airport
YNJ     ^380^Yanji Chaoyangchuan Airport
ASR     ^380^Kayseri / Erkilet
NPL     ^380^New Plymouth Airport
LAE     ^380^Lae Nadzab Airport
NPE     ^380^Hawke's Bay Airport
PDP     ^380^Capitan Corbeta
VUP     ^380^Valledupar / Alfonso Lopez
NBC     ^380^Begishevo Airport
TSN     ^380^Tianjin Binhai International Airport
TNA     ^380^Yaoqiang
EJA     ^370^Yariguíes Airport
LFW     ^370^Lome
IVL     ^370^Ivalo Airport
FLO     ^370^Florence Regional Airport
SCE     ^370^University Park Airport
RKT     ^370^Ras Al Khaimah International Airport
FRO     ^360^Florø Airport
YQQ     ^360^Comox, B. C.
HFT     ^360^Hammerfest Airport
JUJ     ^360^Gobernador Horacio Guzmán International Airport
SCU     ^360^Santiago De Cuba, Oriente
STN     ^360^Stansted Airport
STX     ^360^Henry E Rohlsen Airport
BEL     ^350^Belém/Val de Cans–Júlio Cezar Ribeiro International Airport
NDJ     ^350^N'Djamena International Airport
JIB     ^350^Djibouti \ Ambouli
HRL     ^350^Rio Grande Valley International Airport
SYX     ^350^Sanya Phoenix International Airport
YQU     ^350^Grande Prairie Airport
XFW     ^350^Hamburg-Finkenwerder
AJL     ^350^Aizawl IN Lengpui
XER     ^350^Strasbourg FR Bus Station
EAS     ^350^San Sebastián Airport
SEB     ^350^Sebha
IXL     ^350^Leh Kushok Bakula Rimpochee Airport
FLG     ^350^Flagstaff Pulliam Airport
BHE     ^350^Woodbourne Airport
BET     ^340^Bethel Airport
GGT     ^340^George Town Exuma International Airport
GFK     ^340^Grand Forks International Airport
SMI     ^340^Samos Airport
PAZ     ^340^El Tajín National Airport
EOH     ^340^Enrique Olaya Herrera Airport
MZL     ^340^La Nubia Airport
YXJ     ^340^Fort St John, B. C.
STD     ^340^Sto. Domingo
SAF     ^340^Santa Fe Municipal Airport
PEM     ^340^Puerto Maldonado
CJU     ^340^Jeju International Airport
NWI     ^340^Norwich International Airport
CIT     ^340^Shymkent
CRK     ^340^Clark International Airport
YCD     ^330^Nanaimo Airport
TOF     ^330^Bogashevo Airport
HGU     ^330^Mount Hagen Kagamuga Airport
MUX     ^330^Multan
KKN     ^330^Kirkenes
GZT     ^330^Gaziantep
YXS     ^330^Prince George, B. C.
HME     ^330^Hassi-Messaoud
UTH     ^330^Udon Thani International Airport
CSG     ^330^Columbus Metropolitan Airport
SPN     ^330^Francisco C. Ada International Airport
EWN     ^330^Coastal Carolina Regional Airport
ASF     ^330^Astrakhan
NJC     ^320^Nizhnevartovsk Airport
PQQ     ^320^Port Macquarie Airport
KTT     ^320^Kittila
BHH     ^320^Bisha
EVE     ^320^Evenes
PLQ     ^320^Palanga International Airport
SWF     ^320^Stewart International Airport
ALH     ^320^Albany Aerodrome
IXJ     ^310^Jammu Airport
MLM     ^310^Morelia New
INV     ^310^Inverness Dalcross Airport
VGA     ^310^Vijayawada Airport
SGC     ^310^Surgut
TWU     ^310^Tawau Airport
IXA     ^310^Agartala Airport
LEA     ^310^Learmonth
ABS     ^310^Abu Simbel
AKX     ^310^Aktjubinsk
PGF     ^310^Perpignan-Rivesaltes
KUO     ^310^Kuopio Airport
VIL     ^310^Dakhla Airport
LOP     ^300^Lombok International Airport
VCP     ^300^Campinas Aeroporto
YZF     ^300^Yellowknife Airport
RNB     ^300^Ronneby Airport
BUS     ^300^Batumi International Airport
ABX     ^300^Albury Airport
SBP     ^300^San Luis Obispo County Airport
ABT     ^300^Al Baha
SCN     ^300^Saarbrücken Airport
MQX     ^300^Alula Aba Nega Airport
VLD     ^300^Valdosta Regional Airport
LYH     ^300^Lynchburg Regional Airport/Preston Glenn Field
HDN     ^300^Yampa Valley Airport
DIB     ^300^Dibrugarh Airport
SLZ     ^300^Marechal Cunha Machado International Airport
SFT     ^290^Skellefteå Airport
QQS     ^290^London GB St Pancras Intl Rail
CWA     ^290^Central Wisconsin Airport
ILO     ^290^Iloilo International Airport
KTN     ^290^Ketchikan International Airport
ERI     ^290^Erie International Airport
JHM     ^290^Kapalua Airport
VBY     ^290^Visby Airport
CJA     ^290^Cajamarca
ISU     ^290^Sulaymaniyah International Airport
PIX     ^290^Pico Airport
PPG     ^290^Pago Pago International Airport
CLY     ^290^Calvi - Sainte-Catherine
BPS     ^290^Porto Seguro
REX     ^290^Reynosa International
FSM     ^290^Fort Smith Municipal Airport
BTU     ^290^Bintulu Airport
BGM     ^290^Binghamton Regional Airport-Edwin A Link Field
WGA     ^280^Wagga Airport
BOB     ^280^Bora-Bora Airport
LXS     ^280^Limnos Airport
ATZ     ^280^Asyut
AXD     ^280^Alexandroupoli Airport
AGH     ^280^Ängelholm-Helsingborg Airport
KZO     ^280^Kyzylorda Airport
PSS     ^280^Posadas Airport
CGY     ^280^Lumbia Airport
URT     ^280^Surat Thani Airport
KAO     ^280^Kuusamo Airport
YIW     ^270^Yiwu Airport
UAQ     ^270^Domingo Faustino Sarmiento Airport
NDR     ^270^Nador
UDI     ^270^Uberlandia
UTN     ^270^Upington Airport
NOZ     ^270^Spichenkovo Airport
PAD     ^270^Paderborn Lippstadt Airport
YYD     ^270^Smithers Airport
TZX     ^270^Trabzon
WEH     ^270^Weihai Airport
TPS     ^270^Vincenzo Florio Airport Trapani-Birgi
LNY     ^270^Lanai Airport
TAP     ^270^Tapachula International Airport
MAM     ^270^Matamoros International
LSP     ^270^Paraguana / Josefa
ASM     ^270^Asmara
BCD     ^270^Bacolod Silay International Airport
CGR     ^270^Campo Grande Aeroporto
FRS     ^270^Tikal
ISN     ^270^Sloulin Field International Airport
PFO     ^260^Paphos International Airport
LPI     ^260^Linkoping / Saab
YSB     ^260^Greater Sudbury Airport
RYK     ^260^Shaikh Zaid Airport
MTT     ^260^Minatitlan
KEJ     ^260^Kemerovo
TCO     ^260^La Florida Airport
SDD     ^260^Lubango Airport
CEN     ^260^Ciudad Obregon
ASB     ^260^Ashgabat International Airport
HIR     ^250^Honiara-Henderson International Airport
SVD     ^250^Arnos Vale
CMI     ^250^University of Illinois Willard Airport
BNN     ^250^Bronnoysund / Bronnoy
MDQ     ^250^Mar Del Plata
SYZ     ^250^Shiraz
HMB     ^250^Sohag
NGB     ^250^Ningbo Lishe International Airport
HAH     ^250^Prince Said Ibrahim International Airport
KNX     ^250^Kununurra Airport
PNA     ^250^Pamplona Airport
VVC     ^250^Villavicencio / Vanguardia
JJN     ^250^Quanzhou Jinjiang Airport
RJA     ^250^Rajahmundry Airport
IDA     ^250^Fanning Field
MTJ     ^250^Montrose Regional Airport
ROR     ^240^Roman Tmetuchl International Airport
LAW     ^240^Lawton Municipal Airport
LAO     ^240^Laoag
AQJ     ^240^Maţār al `Aqabah
MGQ     ^240^Mogadiscio
BOJ     ^240^Burgas Airport
DMU     ^240^Dimapur Airport
SFG     ^240^L'Espérance Airport
MOL     ^240^Molde / Aro
MCY     ^240^Maroochydore Airport
NLK     ^240^Norfolk Island Airport
CWL     ^240^Cardiff International Airport
LCH     ^240^Lake Charles Regional Airport
JGA     ^240^Jamnagar Airport
GWT     ^240^Westerland / Sylt
RGI     ^230^Rangiroa Airport
NSN     ^230^Nelson Airport
CLL     ^230^Easterwood Field
WRE     ^230^Whangarei Airport
XMB     ^230^Dubai AE Marina Mall Ey Bus St
RAO     ^230^Leite Lopes Airport
GDZ     ^230^Gelendzhik Airport
KWL     ^230^Guilin
MOQ     ^230^Morondava
KVA     ^230^Kavala International Airport
LRM     ^230^La Romana
KLU     ^230^Klagenfurt Airport
FEZ     ^230^Fes-Saïss Airport
FDH     ^230^Friedrichshafen
HLZ     ^230^Hamilton Airport
SDE     ^230^Santiago Del Estero Aero.
MQL     ^230^Mildura Airport
LRD     ^230^Laredo International Airport
MQM     ^230^Mardin Airport
HRK     ^230^Kharkiv International Airport
COU     ^230^Columbia Regional Airport
MQN     ^220^Mo i Rana Airport, Røssvoll
LDE     ^220^Tarbes-Lourdes-Pyrénées Airport
SUV     ^220^Nausori International Airport
WVB     ^220^Walvis Bay Airport
BHU     ^220^Bhaunagar
YSJ     ^220^Saint John, N. B.
BBA     ^220^Balmaceda Airport
FAE     ^220^Vágar Airport
BSK     ^220^Biskra Airport
SJT     ^220^Mathis Field
UGC     ^220^Urgench Airport
APL     ^220^Nampula
MES     ^220^Medan / Polonia
YDF     ^220^Deer Lake, Nfld.
LRT     ^220^Lorient - Lann-Bihoué
TYR     ^220^Tyler Pounds Field
KHG     ^210^Kashi
TOL     ^210^Toledo Express Airport
AOI     ^210^Ancona Falconara Airport
AFA     ^210^San Rafael Aerodrome
TLE     ^210^Tulear
FCA     ^210^Glacier Park International Airport
XNB     ^210^Dubai AE Chelsea Twr Ey Bus St
YKA     ^210^Kamloops Airport
UTT     ^210^K. D. Matanzima Airport
MBS     ^210^MBS International Airport
OME     ^210^Nome Airport
USN     ^210^Ulsan Airport
LDU     ^210^Lahad Datu Airport
BFS     ^210^Belfast / Aldergrove Airport
BLI     ^210^Bellingham International Airport
LBD     ^210^Khudjand International Airport
RGL     ^210^Rio Gallegos Aerodrome
VPY     ^210^Chimoio
GIS     ^210^Gisborne Airport
RAE     ^210^Arar
AZA     ^210^Phoenix-Mesa Gateway Airport
PCL     ^210^Pucallpa
RES     ^210^Resistencia Aero.
IVC     ^210^Invercargill Airport
SCQ     ^200^Santiago de Compostela Airport
HTY     ^200^Hatay Airport
PXO     ^200^Porto Santo Airport
KDV     ^200^Namalata
SBY     ^200^Salisbury-Wicomico County Regional Airport
ELH     ^200^North Eleuthera
REL     ^200^Almirante Marcos A. Zar Airport
LAP     ^200^La Paz International Airport
IMP     ^200^Imperatriz
ACK     ^200^Nantucket Memorial Airport
DGT     ^200^Dumaguete
SCW     ^190^Syktyvkar Airport
URC     ^190^Urum-Qi / Diwopu
CGB     ^190^Cuiaba Aeroporto
STW     ^190^Stavropol Shpakovskoye Airport
BGY     ^190^Il Caravaggio International Airport
SZZ     ^190^Szczecin-Goleniów Airport
MTS     ^190^Manzini - Matsapha Airport
DMS     ^190^Dammam SA Sabtco Bus Station
ETZ     ^190^Metz-Nancy-Lorraine Airport
LSE     ^190^La Crosse Municipal Airport
MXL     ^190^Mexicali
YXX     ^190^Abbotsford International Airport
ACY     ^190^Atlantic City International Airport
BDB     ^190^Bundaberg Airport
HUY     ^190^Humberside International airport
XYD     ^190^Lyon Part-Dieu
TRG     ^190^Tauranga Airport
DPO     ^190^Devonport Airport
SIT     ^190^Sitka Rocky Gutierrez Airport
MHK     ^180^Manhattan Regional Airport
MME     ^180^Durham Tees Valley Airport
PRI     ^180^Praslin Island Airport
IUE     ^180^Alofi / Niue
PKZ     ^180^Pakse International Airport
GIB     ^180^Gibraltar Airport
KUA     ^180^Kuantan
URY     ^180^Guriat
HIJ     ^180^Hiroshima Airport
PPP     ^180^Proserpine Airport
GZP     ^180^Gazipaşa Airport
TMM     ^180^Tamatave
UUD     ^180^Ulan-Ude
OSD     ^180^Åre Östersund Airport
ACT     ^180^Waco Regional Airport
RCB     ^180^Richard Bay
BVC     ^180^Rabil Airport
URA     ^180^Uralsk
PWQ     ^180^Pavlodar Airport
TOE     ^180^Tozeur–Nefta International Airport
SGU     ^180^Saint George Municipal Airport
MGB     ^180^Mount Gambier Airport
HOV     ^180^Ørsta-Volda lufthamn, Hovden
RKS     ^170^Rock Springs-Sweetwater County Airport
YAM     ^170^Sault Ste Marie, Ont.
FKB     ^170^Baden Airpark
JHB     ^170^Johore Bharu / Senai
VOZ     ^170^Voronez
PZB     ^170^Pieter Maritzburg
ENA     ^170^Kenai Municipal Airport
EXT     ^170^Exeter Airport
YXY     ^170^Whitehorse, Y. T.
YYB     ^170^North Bay, Ont.
DNZ     ^170^Cardak
EDL     ^170^Eldoret International Airport
LSI     ^170^Sumburgh Airport
YQX     ^170^Gander Int. Airport, Nfld.
LKN     ^170^Leknes Airport
LMP     ^170^Lampedusa Airport
DIR     ^160^Dire Dawa
THE     ^160^Teresina
SNU     ^160^Abel Santamaría Airport
PLO     ^160^Port Lincoln Airport
DBO     ^160^Dubbo
VIG     ^160^El Vigia / Perez Alph
EAT     ^160^Pangborn Field
RMI     ^160^Federico Fellini International Airport
HLN     ^160^Helena Regional Airport
CAB     ^160^Cabinda Airport
HVB     ^160^Hervey Bay Airport
FRW     ^160^Francistown Airport
SRG     ^160^Achmad Yani International Airport
BTM     ^160^Bert Mooney Airport
TRW     ^160^Bonriki International Airport
KGF     ^160^Karaganda
SON     ^160^Pekoa Airport Santo
IOM     ^160^Isle Of Man / Ronaldsway Airport
OGZ     ^160^Beslan Airport
ALF     ^160^Alta Lufthavn
KME     ^160^Kamembe
LET     ^160^Alfredo Vásquez Cobo International Airport
YQG     ^160^Windsor, Ont.
DIK     ^160^Dickinson Municipal Airport
KLO     ^160^Kalibo Airport
SRE     ^150^Sucre
NVT     ^150^Ministro Victor Konder International Airport
ANR     ^150^Antwerp International Airport
CBQ     ^150^Calabar
UEL     ^150^Quelimane Airport
ARK     ^150^Arusha Airport
ZCL     ^150^Zacatecas Airport
ABI     ^150^Abilene Regional Airport
OMR     ^150^Oradea
VII     ^150^Vinh Airport
LMM     ^150^Los Mochis International Airport
ESM     ^150^Esmeraldas-Tachina
BLZ     ^150^Chileka International Airport
LYP     ^150^Faisalabad International Airport
XDB     ^150^Gare de Lille - Europe
EPR     ^150^Esperance Airport
TMW     ^150^Tamworth Airport
SPI     ^150^Abraham Lincoln Capital Airport
SWA     ^150^Shantou
PIH     ^150^Pocatello Regional Airport
ULV     ^150^Ulyanovsk Baratayevka Airport
MCZ     ^140^Maceio Aeroporto
FTU     ^140^Fort-Dauphin
RIY     ^140^Riyan International Airport
HVN     ^140^Tweed-New Haven Airport
MDC     ^140^Menado / Dr. Sam Ratulangi
WUX     ^140^Wuxi Airport
MAG     ^140^Madang Airport
SJP     ^140^São José do Rio Preto Airport
YXT     ^140^Terrace, B. C.
REN     ^140^Orenburg / Tsentralny
ACV     ^140^Arcata-Eureka Airport
SKD     ^140^Samarkand Airport
ARM     ^140^Armidale Airport
WLS     ^140^Hihifo Airport
LBS     ^140^Labasa Airport
MQF     ^140^Magnitogorsk International Airport
TAC     ^140^Tacloban
GTR     ^140^Golden Triangle Regional Airport
STS     ^140^Sonoma County Airport
KOK     ^140^Kruunupyy
BKG     ^140^Branson Airport
GOV     ^140^Gove Airport
YGK     ^140^Kingston/Norman Rogers Airport
YTS     ^140^Timmins, Ont.
EMA     ^140^East Midlands Airport
PLU     ^140^Carlos Drummond de Andrade Airport
MKK     ^140^Molokai Airport
CNQ     ^140^Corrientes Aero.
PPN     ^140^Guillermo León Valencia Airport
PGV     ^140^Pitt-Greenville Airport
DTM     ^140^Dortmund / Wickede
MPH     ^140^Godofredo P. Ramos Airport
CBT     ^140^Catumbela Airport
HAK     ^140^Meilan International Airport
DOM     ^140^Melville Hall Airport
SFL     ^140^São Filipe Airport
HFE     ^130^Hefei Luogang International Airport
DEA     ^130^Dera Ghazi Khan Airport
AZR     ^130^Adrar
OER     ^130^Örnskoldsvik flygplats
GEV     ^130^Gällivare Airport
IPT     ^130^Williamsport-Lycoming County Airport
GES     ^130^General Santos International Airport
SLY     ^130^Salekhard Airport
HJR     ^130^Khajuraho Airport
TXK     ^130^Texarkana Regional Airport
BNK     ^130^Ballina Byron Gateway Airport
IOA     ^130^Ioannina National Airport
KWE     ^130^Guiyang Longdongbao International Airport
ENU     ^130^Enugu Airport
ROS     ^130^Rosario International Airport
NOS     ^130^Fascene Nosy Be Airport
PXM     ^130^Puerto Escondido International Airport
HTA     ^130^Chita
LTO     ^130^Loreto, B. C. S.
ROW     ^130^Roswell Industrial Air Center Airport
YBL     ^130^Campbell River Airport
BLJ     ^130^Batna
SPS     ^130^Sheppard Air Force Base/Wichita Falls Municipal Airport
BEW     ^130^Beira
AHU     ^130^Cherif Al Idrissi Airport
HTS     ^130^Tri-State Airport
TTN     ^130^Trenton Mercer Airport
LZH     ^120^Bailian Airport
BDU     ^120^Bardufoss Airport
OSM     ^120^Mosul International Airport
VQS     ^120^Camp Garcia Vieques Airport
GKA     ^120^Goroka Airport
QOW     ^120^Sam Mbakwe International Airport
ZFV     ^120^Philadelphia PA US Railway Sta
UIP     ^120^Quimper-Pluguffan
HLM     ^120^Park Township Airport
BBK     ^120^Kasane Airport
PNL     ^120^Pantelleria Airport
SSJ     ^120^Sandnessjøen Airport, Stokka
BAX     ^120^Barnaul Airport
LPL     ^120^Liverpool Airport
HUX     ^120^Aeropuerto Bahias De Huatulco
TMS     ^120^S. Tome
YWK     ^120^Wabush Airport
YQY     ^120^Sydney, N. S.
MOZ     ^120^Moorea-Temae Airport
MYW     ^120^Mtwara Airport
YYF     ^120^Penticton Regional Airport
YVO     ^120^Val-d'Or Airport
RYG     ^120^Rygge
NHA     ^120^Nha Trang
TUO     ^120^Taupo Airport
RFP     ^120^Raiatea Airport
SFN     ^120^Sauce Viejo Airport
AJU     ^120^Aracaju Aeroporto
ETR     ^110^Santa Rosa Regional Airport
CFR     ^110^Caen-Carpiquet
AKN     ^110^King Salmon Airport
NMA     ^110^Namangan Airport
SKN     ^110^Storkmarknes / Skagen
OSS     ^110^Osh Airport
ZBF     ^110^Bathurst
MJF     ^110^Mosjøen Airport, Kjærstad
JKG     ^110^Jönköping Airport
RMQ     ^110^Taichung Airport
BRW     ^110^Wiley Post-Will Rogers Memorial Airport
BDO     ^110^Husein Sastranegara International Airport
FMA     ^110^Formosa Aerodrome
IOS     ^110^Ilheus Aeroporto
ASO     ^110^Assosa / Asosa
TAI     ^110^Taiz
LOH     ^110^Catamayo / Camilo Ponce Enriquez
MJV     ^110^Murcia-San Javier Airport
TDD     ^110^Trinidad
OND     ^110^Ondangwa Airport
WYA     ^110^Whyalla Airport
ANX     ^110^Andøya Andenes Airport
